covariate,bucket,n,n_error,error_rate,spread_pp,chi2_p,verdict
task_bucket,null,40,3,0.075,22.5,0.0,non-classical measurement error
task_bucket,qing,40,0,0.0,22.5,0.0,non-classical measurement error
task_bucket,ren,40,0,0.0,22.5,0.0,non-classical measurement error
task_bucket,wei,40,9,0.225,22.5,0.0,non-classical measurement error
task_bucket,yc,40,0,0.0,22.5,0.0,non-classical measurement error
anndate_year,2018,135,7,0.0519,2.51,0.4844,errors approximately classical
anndate_year,2019,65,5,0.0769,2.51,0.4844,errors approximately classical
title_length_quartile,Q1,61,2,0.0328,4.72,0.7252,errors approximately classical
title_length_quartile,Q2,40,3,0.075,4.72,0.7252,errors approximately classical
title_length_quartile,Q3,49,3,0.0612,4.72,0.7252,errors approximately classical
title_length_quartile,Q4,50,4,0.08,4.72,0.7252,errors approximately classical
